latitude,longitude
30.21642867,-97.75132737
30.34083584,-97.73885052
30.32062348,-97.75595342
30.2851379,-97.66219469
30.31711395,-97.66484715
30.40783722,-97.74513802
30.28555343,-97.6846234
30.33068645,-97.62480433
30.25353307,-97.7630546
30.23979616,-97.68818678
30.36242092,-97.6973762
30.26763579,-97.73344588
30.32823162,-97.65454559
30.26823449,-97.77714746
30.25680478,-97.78167245
30.22964479,-97.76025246
30.49257357,-97.77317993
30.34771038,-97.7124711
30.44947882,-97.78798141
30.23794623,-97.87179641
30.21544727,-97.75112566
30.1534065,-97.79147724
30.29411187,-97.67872893
30.33600545,-97.70212299
30.37851183,-97.73647065
30.47950195,-97.80329426
30.34050102,-97.59110231
30.40481783,-97.67510892
30.33985894,-97.5906933
30.37604468,-97.63176911
30.36851077,-97.61303749
30.23363831,-97.74124778
30.34366954,-97.69670607
30.22768016,-97.68269659
30.3216415,-97.68576066
30.26088594,-97.71373063
30.167478,-97.79305077
30.19702662,-97.64367631
30.46864628,-97.79623937
30.34050102,-97.59110231
30.41001475,-97.74760246
30.41226509,-97.70847224
30.38313511,-97.69887464
30.31306445,-97.6626347
30.41136114,-97.68669127
30.42843705,-97.84180707
30.18573183,-97.79918944
30.2316989,-97.71733618
30.43980717,-97.77917419
30.4758575,-97.79410137
30.28322785,-97.7279961
30.37670307,-97.73259521
30.29269052,-97.63086487
30.23246579,-97.720317
30.20005533,-97.78598611
30.41442453,-97.66348414
30.19533991,-97.62438559
30.34451035,-97.70668494
30.16914858,-97.73865081
30.30805708,-97.71141038
30.40322954,-97.67897566
30.33695115,-97.75599697
30.2379362,-97.72569103
30.39035249,-97.8281866
30.28499465,-97.68080925
30.27081241,-97.73238258
30.19820326,-97.79128011
30.26754933,-97.75787681
30.23682781,-97.69578341
30.38379624,-97.73647239
30.19189799,-97.69829361
30.46559042,-97.79519096
30.24736756,-97.73513699
30.15828475,-97.85991263
30.50021346,-97.76324275
30.23260234,-97.70585399
30.20152785,-97.75469497
30.23950271,-97.73019436
30.39947362,-97.65503244
30.27124332,-97.77368509
30.43967151,-97.77879757
30.43730026,-97.73604949
30.19994656,-97.62219116
30.4909173,-97.80287962
30.37721252,-97.7255798
30.37432601,-97.75561277
30.35087278,-97.71814134
30.43012243,-97.78131041
30.35892199,-97.73009143
30.39120473,-97.72199033
30.26198486,-97.7362442
30.31722252,-97.69972835
30.35212811,-97.67535084
30.23049603,-97.7431181
30.17347274,-97.76887726
30.46848479,-97.7884687
30.31348214,-97.70846387
30.21970546,-97.73362581
30.25569852,-97.73684524
30.22429174,-97.74633962
30.11260392,-97.80006803
30.44403323,-97.66798042
30.36362698,-97.72882615
30.32455635,-97.81299174
30.19580099,-97.78508283
30.35713985,-97.73317429
30.42876838,-97.84260347
30.3985254,-97.73125756
30.32962846,-97.68987899
30.22097114,-97.77292642
30.3242186,-97.75610993
30.2038059,-97.70672252
30.1698563,-97.82518653
30.23049259,-97.74330554
30.33106444,-97.73198762
30.31734354,-97.65873057
30.22760166,-97.82946678
30.23716561,-97.82220791
30.2517151,-97.85879372
30.19535767,-97.62437522
30.35798597,-97.69996523
30.23609519,-97.83315564
30.28689157,-97.7028046
30.14614778,-97.79379032
30.33790766,-97.71855185
30.30519121,-97.71304228
30.22190062,-97.68433431
30.09956686,-97.81351005
30.32927236,-97.70570824
30.21516529,-97.7689137
30.27672864,-97.81887502
30.33963631,-97.5921042
30.27616462,-97.73709714
30.22523336,-97.7677962
30.20224554,-97.77567522
30.23475644,-97.74052813
30.25075832,-97.89610364
30.35080346,-97.70933194
30.3182076,-97.70704754
30.37887633,-97.69196349
30.28931792,-97.68036823
30.4267925,-97.75365174
30.44640365,-97.78917981
30.14498331,-97.79453642
30.11033347,-97.80819384
30.33129882,-97.62339113
30.32150208,-97.70713141
30.37144481,-97.78574132
30.30246008,-97.66083352
30.21213842,-97.71047784
